Thumbnail,Year Published,Min Players,Max Players,Play Time (Minutes),Category,Mechanics,Average Rating
https://cf.geekdo-images.com/thumb/img/TiLJY5V47pk3vvidXcfMoeUcRd8=/fit-in/200x150/pic2576459.jpg,2009,5,10,30,"['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Science Fiction', 'Spies/Secret Agents']","['Hidden Roles', 'Memory', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Voting']",7.29832
https://cf.geekdo-images.com/thumb/img/bKogxVLnOSfLrLyPDFtsjKGh5nA=/fit-in/200x150/pic5100947.jpg,2009,2,2,30,"['Animals', 'Card Game']","['Card Drafting', 'Hand Management', 'Score-and-Reset Game', 'Set Collection']",7.51125
https://cf.geekdo-images.com/thumb/img/ZsRtgIExTwWphMDZPH1hG-CR8os=/fit-in/200x150/pic2016054.jpg,2012,2,6,15,"['Bluffing', 'Card Game', 'Deduction', 'Party Game', 'Political']","['Hidden Roles', 'Memory', 'Player Elimination', 'Take That', 'Variable Player Powers']",7.0138
https://cf.geekdo-images.com/thumb/img/457OeNXcnwr4r_5KPj3xyltK0QI=/fit-in/200x150/pic1903816.jpg,2014,2,2,20,"['Card Game', 'Fighting', 'Science Fiction']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Take That']",7.59127
https://cf.geekdo-images.com/thumb/img/6KTmKEfbsPgEFnMnHlYL5DIHHmU=/fit-in/200x150/pic1912529.jpg,2011,2,4,45,"['Animals', 'Environmental', 'Farming', 'Territory Building']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Network and Route Building', 'Pattern Building', 'Set Collection', 'Tile Placement']",7.27915
https://cf.geekdo-images.com/thumb/img/wvfZwwtcqpth4bgHnh4M-EhUCXg=/fit-in/200x150/pic4458123.jpg,2019,1,5,70,"['Animals', 'Card Game', 'Educational']","['Card Drafting', 'Dice Rolling', 'Drafting', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game']",8.11132
https://cf.geekdo-images.com/thumb/img/0y6Je0vh3QP_BhYHNxn6w8TafHk=/fit-in/200x150/pic1900075.jpg,2013,2,5,15,['Card Game'],"['Card Drafting', 'Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']",7.05465
https://cf.geekdo-images.com/thumb/img/NpZjJd2NgxSJV2WrlB_U1e89txY=/fit-in/200x150/pic354500.jpg,2008,3,6,180,"['Bluffing', 'Deduction', 'Movies / TV / Radio theme', 'Political', 'Science Fiction', 'Space Exploration', 'Spies/Secret Agents']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Once-Per-Game Abilities', 'Role Playing', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Variable Setup', 'Voting']",7.74223
https://cf.geekdo-images.com/thumb/img/kvMhOuVRtAcCK7nXPcOr8RwWvYg=/fit-in/200x150/pic3165731.jpg,2012,1,4,120,"['Adventure', 'Exploration', 'Fighting', 'Novel-based']","['Action Queue', 'Cooperative Game', 'Dice Rolling', 'Hexagon Grid', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']",7.86087
https://cf.geekdo-images.com/thumb/img/JPo2K0kSzYwCSqgEFdJbCzXFaTA=/fit-in/200x150/pic2439223.jpg,2015,2,4,90,"['Fantasy', 'Fighting', 'Mythology']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Memory', 'Simultaneous Action Selection']",8.00234
https://cf.geekdo-images.com/thumb/img/JTUt9zxnc6WQrGQ_pkkaMP3gtx0=/fit-in/200x150/pic163749.jpg,1993,2,2,20,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']","['Deck Construction', 'Hand Management', 'Interrupts', 'Take That']",7.50581
https://cf.geekdo-images.com/thumb/img/j7n3RouVn6V-oVhyjU5NmhEOTzU=/fit-in/200x150/pic2055255.jpg,2014,2,4,80,"['Animals', 'Arabian', 'Fantasy', 'Mythology']","['Auction/Bidding', 'End Game Bonuses', 'Hidden Victory Points', 'Mancala', 'Modular Board', 'Set Collection', 'Square Grid', 'Turn Order: Auction', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']",7.77863
https://cf.geekdo-images.com/thumb/img/J6CuMx6ErFJcgrQtqziiwTgviZI=/fit-in/200x150/pic2601683.jpg,2015,2,7,42,"['Deduction', 'Horror', 'Murder/Mystery', 'Party Game']","['Communication Limits', 'Cooperative Game', 'Deduction', 'Finale Ending', 'Hand Management', 'Pattern Recognition']",7.32958
https://cf.geekdo-images.com/thumb/img/mXbotIurS_kqKiAnbT92D81Xqa0=/fit-in/200x150/pic460011.jpg,2009,2,4,30,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Hand Management']",7.7271
https://cf.geekdo-images.com/thumb/img/DWLDa-8tU6ZVb-Qe_4tD6VJdNu0=/fit-in/200x150/pic4916782.jpg,1959,2,6,120,"['Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Player Elimination', 'Set Collection']",5.58504
https://cf.geekdo-images.com/thumb/img/RFxQzKDZgLqZ6oCtclSQHMbDlfk=/fit-in/200x150/pic1413480.jpg,2012,2,4,90,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']","['Bias', 'End Game Bonuses', 'Turn Order: Claim Action', 'Worker Placement']",7.90717
https://cf.geekdo-images.com/thumb/img/gE7UpZsOyGWZrENKvoEA9ovTVqc=/fit-in/200x150/pic3132685.png,2016,2,4,20,"['City Building', 'Medieval', 'Territory Building']","['Card Drafting', 'Pattern Building', 'Tile Placement']",7.36364
https://cf.geekdo-images.com/thumb/img/90es3_t2C0hkBKwUFBRCGWU9TQ4=/fit-in/200x150/pic3926631.jpg,2007,2,4,60,"['Real-time', 'Science Fiction', 'Space Exploration', 'Transportation']","['Dice Rolling', 'Events', 'Real-Time', 'Relative Movement', 'Team-Based Game', 'Tile Placement', 'Track Movement']",7.41642
https://cf.geekdo-images.com/thumb/img/QRIjEgV1_HH5x27_MAK_--oWSLU=/fit-in/200x150/pic791151.jpg,2000,2,2,20,"['Abstract Strategy', 'Animals']","['Grid Movement', 'Hexagon Grid', 'Pieces as Map', 'Tile Placement']",7.31857
https://cf.geekdo-images.com/thumb/img/18ToCY0hvajoDtgqXaB6T7inL8Y=/fit-in/200x150/pic2075830.jpg,2014,3,5,60,"['Bluffing', 'Card Game', 'Humor', 'Medieval', 'Negotiation', 'Novel-based', 'Party Game']","['Betting and Bluffing', 'Bribery', 'Card Drafting', 'Hand Management', 'Negotiation', 'Role Playing', 'Set Collection']",7.15773
https://cf.geekdo-images.com/thumb/img/V_13CBO7zMMfQsUhF6jUAy_nAeg=/fit-in/200x150/pic1872452.jpg,2013,1,8,240,"['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based', 'Travel']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",7.82125
https://cf.geekdo-images.com/thumb/img/WfMn5n1jTcr_rdtAngb51PHA6XI=/fit-in/200x150/pic4893652.jpg,2003,2,6,60,"['Arabian', 'City Building', 'Medieval']","['Card Drafting', 'Hand Management', 'Set Collection', 'Tile Placement']",7.02634
